"pedido_id","usuario_id","nombre_usuario","fecha","edad","total","costo_envio","metodo_pago","num_productos","total_unidades","porcentaje_cancelados_previos","hora_compra","es_fin_de_semana","dias_desde_ultimo_pedido","antiguedad_cuenta_dias","estado_envio","resumen_productos","clase_y"
"6a6e4dbc46feabf3642b058d","6a6e423bc67baa40f00d6695","Carlos Cruz","2024-01-01T08:00:00.000Z","50","1920","115","Efectivo","4","6","0.0","8","0","999","365","Estado de Mexico","Alfapar 11.20 (x1) | Alicate Alaska Manicure (x1) | Ampolletas Revive Pre-Perm (x3) | 4X4 Combo pow 5 pz. (x1)","1"
"6a6e4dbc46feabf3642b0592","6a6e423bc67baa40f00d66a9","Luis Rodríguez","2024-01-01T10:48:34.200Z","22","700","125","Transferencia","2","5","0.0","10","0","999","365","Veracruz","Alfapar 7NB (x3) | Alicate Alaska Manicure (x2)","1"
"6a6e4dbc46feabf3642b0595","6a6e43efa976faa4ec8a3fae","Jorge Martínez","2024-01-01T13:37:08.400Z","29","900","95","Transferencia","3","7","0.0","13","0","999","366","Puebla","Ampolletas Hidraforce - Gegenerex (x2) | Alfapar 6.1 (x3) | Ampolletas Alfaparf Semi Di Lino Essential Oil (Azul) (x2)","0"
"6a6e4dbc46feabf3642b0599","6a6e43efa976faa4ec8a403c","Ana Sánchez","2024-01-01T16:25:42.600Z","36","395","105","Transferencia","2","5","0.0","16","0","999","366","Queretaro","Almoadillas de algodon (x3) | 4x4 Aftershave King Blue 400ml (x2)","0"
"6a6e4dbc46feabf3642b059c","6a6e43efa976faa4ec8a4038","Alejandro Cruz","2024-01-01T19:14:16.800Z","31","480","105","PayPal","2","3","0.0","19","0","999","366","Queretaro","Alfapar 6.23 (x1) | Alfapar 5 (x2)","0"
"6a6e4dbc46feabf3642b059f","6a6e423bc67baa40f00d668d","Fernando Ramírez","2024-01-01T22:02:51.000Z","19","1095","125","Efectivo","3","6","0.0","22","0","999","366","Veracruz","Alfapar Keratin Therapy lisse Oil 50ml. (x2) | Alfapar 6.66I (x3) | Aluminio Profesional Mopi (x1)","1"
"6a6e4dbc46feabf3642b05a3","6a6e43efa976faa4ec8a404f","Gabriel Martínez","2024-01-02T00:51:25.200Z","53","320","65","PayPal","2","3","0.0","0","0","999","366","Hidalgo","4x4 Pomada Extrafirme Verde 100g. (x2) | Alfapar 7.45 (x1)","0"
"6a6e4dbc46feabf3642b05a6","6a6e423bc67baa40f00d66de","Jorge Martínez","2024-01-02T03:39:59.400Z","29","980","55","Efectivo","2","5","0.0","3","0","999","366","Hidalgo","Alfapar 6.32 (x3) | Andis (x2)","1"
"6a6e4dbc46feabf3642b05a9","6a6e40420c7e024088e53fc7","Jorge Morales","2024-01-02T06:28:33.600Z","53","650","115","Efectivo","3","5","0.0","6","0","999","366","Estado de Mexico","4x4 shampoo matiz negro 300ml. (x1) | Alfapar 11.10 (x3) | Alaska Saca Comedones (x1)","1"
"6a6e4dbc46feabf3642b05ad","6a6e43efa976faa4ec8a404c","Elena Martínez","2024-01-02T09:17:07.800Z","24","610","95","Transferencia","2","5","0.0","9","0","999","366","Puebla","4x4 Gel 500g. (x2) | 4x4 papel cuello negro 5 pz (x3)","0"
